v8-version,6,2,414,54,0
code-creation,Stub,3,245000,0x2586868dfc0,886,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868e3a0,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868ec40,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868f4e0,2122,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586868fda0,1258,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868690300,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,245000,0x25868690440,2108,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868690ce0,2095,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868691580,367,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,245000,0x25868691760,2095,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868692000,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686928a0,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,245000,0x25868692a80,180,"An IC handler from the snapshot"
code-creation,Stub,3,245000,0x25868692ba0,2092,"RecordWriteStub"
code-creation,Handler,4,245000,0x25868693440,180,"An IC handler from the snapshot"
code-creation,Stub,3,245000,0x25868693560,886,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868693940,2130,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868694200,882,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686945e0,2134,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868694ea0,87,"DoubleToIStub"
code-creation,Stub,3,245000,0x25868694f60,2117,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868695820,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686960c0,2111,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868696960,2084,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868697200,894,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686975e0,888,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686979c0,2117,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868698280,886,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868698660,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,245000,0x258686987a0,235,"NumberToStringStub"
code-creation,Stub,3,245000,0x25868698900,2133,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686991c0,2138,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868699a80,888,"RecordWriteStub"
code-creation,Stub,3,245000,0x25868699e60,2112,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586869a700,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586869afa0,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,245000,0x2586869b100,2095,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586869b9a0,87,"DoubleToIStub"
code-creation,Stub,3,245000,0x2586869ba60,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586869c300,2138,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586869cbc0,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,245000,0x2586869cd00,110,"InternalArrayConstructorStub"
code-creation,Stub,3,245000,0x2586869cde0,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,245000,0x2586869cf20,319,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,245000,0x2586869d0c0,27,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,245000,0x2586869d140,2092,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586869d9e0,2122,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586869e2a0,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586869eb40,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586869f3e0,2095,"RecordWriteStub"
code-creation,Stub,3,245000,0x2586869fc80,2080,"RecordWriteStub"
